subject,session,run,trial_nr,n,response,range,response_time
01,2,6,19,10.0,18.0,narrow,0.2172514999983832
01,2,6,20,20.0,24.0,narrow,1.2181890000028943
01,2,6,21,21.0,25.0,narrow,1.0509453999984544
01,2,6,22,11.0,15.0,narrow,0.0334195000032195
01,2,6,23,16.0,19.0,narrow,1.017967800002225
01,2,6,24,11.0,14.0,narrow,0.7342036999980337
01,2,6,25,18.0,25.0,narrow,0.5172401000017999
01,2,6,26,12.0,19.0,narrow,1.2844777999998769
01,2,6,27,14.0,18.0,narrow,0.0996059999997669
01,2,6,28,21.0,20.0,narrow,1.4678975000024366
01,2,6,29,18.0,18.0,narrow,1.0680135999973572
01,2,6,30,23.0,23.0,narrow,1.0844839999990654
01,2,7,1,20.0,19.0,narrow,0.1002542000023822
01,2,7,2,25.0,22.0,narrow,0.3334552999986044
01,2,7,3,23.0,20.0,narrow,1.2513393000008364
01,2,7,4,11.0,14.0,narrow,1.1346479000021643
01,2,7,5,11.0,13.0,narrow,1.2182462999990094
01,2,7,6,22.0,21.0,narrow,0.0667260000009264
01,2,7,7,20.0,22.0,narrow,1.7018765999964671
01,2,7,8,24.0,23.0,narrow,1.3477615999981936
01,2,7,9,22.0,25.0,narrow,1.051312900002813
01,2,7,10,19.0,19.0,narrow,0.133292700000311
01,2,7,11,12.0,17.0,narrow,1.1510592000013276
01,2,7,12,14.0,19.0,narrow,1.3516601999981503
01,2,7,13,20.0,20.0,narrow,1.7691248000010091
01,2,7,14,19.0,18.0,narrow,1.3176977000002807
01,2,7,15,24.0,20.0,narrow,0.4171628000003693
01,2,7,16,20.0,21.0,narrow,1.0180528999990202
01,2,7,17,14.0,18.0,narrow,0.2335949999978765
01,2,7,18,20.0,18.0,narrow,0.35015100000237
01,2,7,19,14.0,17.0,narrow,1.5515220000015688
01,2,7,20,10.0,16.0,narrow,0.7843160999982501
01,2,7,21,23.0,25.0,narrow,1.1512513999987275
01,2,7,22,15.0,20.0,narrow,1.5515937999989546
01,2,7,23,16.0,19.0,narrow,0.6506695999996737
01,2,7,24,16.0,17.0,narrow,1.768819099997927
01,2,7,25,14.0,17.0,narrow,1.1013806000009936
01,2,7,26,17.0,20.0,narrow,1.5351399999999558
01,2,7,27,17.0,19.0,narrow,1.2015549000025203
01,2,7,28,25.0,25.0,narrow,0.7163572000026761
01,2,7,29,16.0,18.0,narrow,1.0513143999996828
01,2,7,30,20.0,22.0,narrow,0.1337626000022282
01,2,8,1,24.0,19.0,narrow,1.0013155999986338
01,2,8,2,24.0,21.0,narrow,1.3682344000008015
01,2,8,3,20.0,20.0,narrow,0.6671220999996876
01,2,8,4,22.0,21.0,narrow,0.1129060000021127
01,2,8,5,10.0,10.0,narrow,0.5839401000012003
01,2,8,6,10.0,15.0,narrow,0.5340642000010121
01,2,8,7,11.0,16.0,narrow,0.3504890000003797
01,2,8,8,13.0,19.0,narrow,0.6169744999970135
01,2,8,9,16.0,21.0,narrow,1.6183991999969294
01,2,8,10,12.0,17.0,narrow,0.5003553999995347
01,2,8,11,15.0,20.0,narrow,0.0667810999984794
01,2,8,12,22.0,25.0,narrow,0.8343448000014178
01,2,8,13,12.0,18.0,narrow,0.8510954000012134
01,2,8,14,13.0,18.0,narrow,1.3344232000017655
01,2,8,15,24.0,23.0,narrow,0.7142516999992949
01,2,8,16,16.0,23.0,narrow,0.797234199999366
01,2,8,17,18.0,19.0,narrow,0.7342499000005773
01,2,8,18,25.0,25.0,narrow,0.9510632999990776
01,2,8,19,16.0,19.0,narrow,1.98621120000098
01,2,8,20,18.0,21.0,narrow,0.6307549999983166
01,2,8,21,22.0,20.0,narrow,0.6003275000002759
01,2,8,22,21.0,21.0,narrow,1.7853057000029366
01,2,8,23,17.0,20.0,narrow,2.218581400000403
01,2,8,24,11.0,14.0,narrow,0.0835422999989532
01,2,8,25,18.0,19.0,narrow,1.151136000000406
01,2,8,26,12.0,15.0,narrow,0.1667348999981186
01,2,8,27,13.0,17.0,narrow,1.16801359999954
01,2,8,28,18.0,20.0,narrow,1.3512270000028366
01,2,8,29,14.0,20.0,narrow,1.4179409999997006
01,2,8,30,17.0,19.0,narrow,0.0167428000022482
02,1,1,1,23.0,30.0,wide,0.3470139999990351
02,1,1,2,13.0,16.0,wide,1.731692800000019
02,1,1,3,22.0,28.0,wide,1.3345564999981434
02,1,1,4,40.0,37.0,wide,1.935211200001504
02,1,1,5,30.0,,wide,
02,1,1,6,28.0,30.0,wide,1.3848544000029506
02,1,1,7,22.0,28.0,wide,1.0010859000030905
02,1,1,8,29.0,32.0,wide,0.7677170000024489
02,1,1,9,20.0,25.0,wide,1.33484529999987
02,1,1,10,14.0,18.0,wide,1.1680918000020029
02,1,1,11,29.0,30.0,wide,0.317009299997153
02,1,1,12,25.0,29.0,wide,0.7840867000013532
02,1,1,13,23.0,29.0,wide,0.2003279000018665
02,1,1,14,33.0,33.0,wide,1.4849541000003228
02,1,1,15,14.0,20.0,wide,0.643583299999591
02,1,1,16,34.0,35.0,wide,0.1802225000028556
