subject,format,run,trial_nr,p1,p2,n1,n2,choice
2,symbolic,5,228,1.0,0.55,7,17,True
2,symbolic,5,229,1.0,0.55,7,8,False
2,symbolic,5,230,1.0,0.55,28,40,False
2,symbolic,5,231,1.0,0.55,5,12,True
2,symbolic,5,232,1.0,0.55,7,24,True
2,symbolic,5,233,1.0,0.55,10,12,False
2,symbolic,5,234,1.0,0.55,28,79,True
2,symbolic,5,235,1.0,0.55,20,48,True
2,symbolic,5,236,1.0,0.55,5,8,False
2,symbolic,5,237,1.0,0.55,14,16,False
2,symbolic,5,238,1.0,0.55,5,12,True
2,symbolic,5,239,1.0,0.55,7,20,True
2,symbolic,5,240,1.0,0.55,10,12,False
3,symbolic,1,1,1.0,0.55,7,8,False
3,symbolic,1,2,1.0,0.55,5,20,False
3,symbolic,1,3,1.0,0.55,14,47,False
3,symbolic,1,4,1.0,0.55,7,17,False
3,symbolic,1,5,1.0,0.55,20,57,False
3,symbolic,1,6,1.0,0.55,7,8,False
3,symbolic,1,7,1.0,0.55,5,10,False
3,symbolic,1,8,1.0,0.55,14,20,False
3,symbolic,1,9,1.0,0.55,7,12,False
3,symbolic,1,10,1.0,0.55,10,12,False
3,symbolic,1,11,1.0,0.55,10,14,False
3,symbolic,1,12,1.0,0.55,20,80,False
3,symbolic,1,13,1.0,0.55,20,40,False
3,symbolic,1,14,1.0,0.55,5,6,False
3,symbolic,1,15,1.0,0.55,14,20,False
3,symbolic,1,16,1.0,0.55,10,20,False
3,symbolic,1,17,1.0,0.55,28,47,False
3,symbolic,1,18,1.0,0.55,10,11,False
3,symbolic,1,19,1.0,0.55,28,94,False
3,symbolic,1,20,1.0,0.55,28,112,False
3,symbolic,1,21,1.0,0.55,28,47,False
3,symbolic,1,22,1.0,0.55,5,8,False
3,symbolic,1,23,1.0,0.55,14,17,False
3,symbolic,1,24,1.0,0.55,20,40,False
3,symbolic,1,25,1.0,0.55,7,8,False
3,symbolic,1,26,1.0,0.55,5,20,False
3,symbolic,1,27,1.0,0.55,14,47,False
3,symbolic,1,28,1.0,0.55,7,17,True
3,symbolic,1,29,1.0,0.55,20,57,False
3,symbolic,1,30,1.0,0.55,7,8,False
3,symbolic,1,31,1.0,0.55,5,10,False
3,symbolic,1,32,1.0,0.55,14,20,False
3,symbolic,1,33,1.0,0.55,7,12,False
3,symbolic,1,34,1.0,0.55,10,12,False
3,symbolic,1,35,1.0,0.55,10,14,False
3,symbolic,1,36,1.0,0.55,20,80,False
3,symbolic,1,37,1.0,0.55,20,40,False
3,symbolic,1,38,1.0,0.55,5,6,False
3,symbolic,1,39,1.0,0.55,14,20,False
3,symbolic,1,40,1.0,0.55,10,20,False
3,symbolic,1,41,1.0,0.55,28,47,False
3,symbolic,1,42,1.0,0.55,10,11,False
3,symbolic,1,43,1.0,0.55,28,94,False
3,symbolic,1,44,1.0,0.55,28,112,False
3,symbolic,1,45,1.0,0.55,28,47,False
3,symbolic,1,46,1.0,0.55,5,8,False
3,symbolic,1,47,1.0,0.55,14,17,False
3,symbolic,1,48,1.0,0.55,20,40,False
3,symbolic,2,49,1.0,0.55,28,94,False
3,symbolic,2,50,1.0,0.55,14,15,False
3,symbolic,2,51,1.0,0.55,14,20,False
3,symbolic,2,52,1.0,0.55,5,6,False
3,symbolic,2,53,1.0,0.55,14,24,False
3,symbolic,2,54,1.0,0.55,28,56,False
3,symbolic,2,55,1.0,0.55,14,56,False
3,symbolic,2,56,1.0,0.55,10,24,False
3,symbolic,2,57,1.0,0.55,10,24,False
3,symbolic,2,58,1.0,0.55,7,28,False
3,symbolic,2,59,1.0,0.55,20,22,False
3,symbolic,2,60,1.0,0.55,10,17,False
3,symbolic,2,61,1.0,0.55,20,34,False
3,symbolic,2,62,1.0,0.55,20,22,False
3,symbolic,2,63,1.0,0.55,28,33,False
