subject,session,mapping,run,trial_nr,orientation,value,reward,response,response_time
2,2,inverse_cdf,2,36,142.5,36.5,66.5,38.0,2.3825400000005175
2,2,inverse_cdf,2,37,150.0,39.0,77.5,39.5,2.1580936000000293
2,2,inverse_cdf,2,38,37.5,7.5,42.0,7.5,2.358357700000852
2,2,inverse_cdf,2,39,52.5,16.0,53.5,16.5,1.821669899999506
2,2,inverse_cdf,2,40,135.0,32.5,42.0,27.5,2.0868022000004203
2,2,inverse_cdf,2,41,97.5,22.5,42.0,22.5,2.0426133999999365
2,2,inverse_cdf,2,42,90.0,22.0,42.5,22.0,1.652490000000398
2,2,inverse_cdf,2,43,75.0,21.0,42.0,21.0,2.03998700000011
2,2,inverse_cdf,2,44,67.5,20.0,42.0,20.5,1.6878705999997692
2,2,inverse_cdf,2,45,172.5,41.5,53.0,41.5,2.51192489999994
2,2,inverse_cdf,2,46,165.0,41.0,82.0,41.0,1.7803839000007429
2,2,inverse_cdf,3,47,112.5,24.0,65.5,27.0,2.369992699999784
2,2,inverse_cdf,3,48,67.5,20.0,54.0,20.5,2.876630599999771
2,2,inverse_cdf,3,49,52.5,16.0,42.0,16.0,2.2400080999996135
2,2,inverse_cdf,3,50,37.5,7.5,42.0,13.5,2.4773716999998214
2,2,inverse_cdf,3,51,135.0,32.5,42.0,28.0,2.382024000000456
2,2,inverse_cdf,3,52,142.5,36.5,72.0,39.0,2.275810800000727
2,2,inverse_cdf,3,53,150.0,39.0,62.5,39.5,1.7450896000000284
2,2,inverse_cdf,3,54,97.5,22.5,42.0,22.5,2.417053600000145
2,2,inverse_cdf,3,55,90.0,22.0,42.0,22.0,2.310902199999873
2,2,inverse_cdf,3,56,82.5,21.5,59.5,21.5,1.120378300000084
2,2,inverse_cdf,3,57,15.0,3.0,42.0,3.0,2.122364199999538
2,2,inverse_cdf,3,58,45.0,11.5,42.0,11.0,2.16943320000064
2,2,inverse_cdf,3,59,7.5,2.5,42.0,2.5,2.004225000000588
2,2,inverse_cdf,3,60,165.0,41.0,56.5,41.0,2.228581000000304
2,2,inverse_cdf,3,61,60.0,18.5,47.0,21.0,2.230311299999812
2,2,inverse_cdf,3,62,172.5,41.5,66.0,41.5,2.134370700000545
2,2,inverse_cdf,3,63,157.5,40.0,58.0,40.0,2.310751199999686
2,2,inverse_cdf,3,64,120.0,25.5,42.0,28.5,1.9584448000005068
2,2,inverse_cdf,3,65,105.0,23.0,56.5,23.5,2.2401513999993767
2,2,inverse_cdf,3,66,127.5,28.0,42.0,25.5,2.263774099999864
2,2,inverse_cdf,3,67,30.0,5.0,44.5,7.5,2.370032199999514
2,2,inverse_cdf,3,68,22.5,4.0,43.5,6.0,2.1352317999999286
2,2,inverse_cdf,3,69,75.0,21.0,42.0,21.5,2.312168099999326
2,2,inverse_cdf,4,70,52.5,16.0,42.0,19.5,1.8993237999993653
2,2,inverse_cdf,4,71,45.0,11.5,42.0,16.0,1.3911607999998523
2,2,inverse_cdf,4,72,82.5,21.5,48.5,21.5,1.3204642000000604
2,2,inverse_cdf,4,73,157.5,40.0,65.5,39.5,2.204800200000136
2,2,inverse_cdf,4,74,150.0,39.0,64.0,39.5,2.1581479000005857
2,2,inverse_cdf,4,75,165.0,41.0,69.5,40.5,2.4172919000002366
2,2,inverse_cdf,4,76,142.5,36.5,42.0,32.5,1.8558829000003243
2,2,inverse_cdf,4,77,30.0,5.0,42.0,7.0,1.8866987000001243
2,2,inverse_cdf,4,78,37.5,7.5,42.0,10.0,1.7690319000003
2,2,inverse_cdf,4,79,135.0,32.5,42.0,28.0,2.040325500000108
2,2,inverse_cdf,4,80,60.0,18.5,42.0,21.0,1.9101236999995308
2,2,inverse_cdf,4,81,22.5,4.0,42.0,3.5,1.8158002000000124
2,2,inverse_cdf,4,82,112.5,24.0,42.0,23.0,2.452361600000586
2,2,inverse_cdf,4,83,105.0,23.0,42.0,23.0,2.3579092999998466
2,2,inverse_cdf,4,84,172.5,41.5,51.0,41.0,1.863877499999944
2,2,inverse_cdf,4,85,90.0,22.0,42.5,22.0,1.8156165000000328
2,2,inverse_cdf,4,86,120.0,25.5,66.0,28.5,1.697914999999739
2,2,inverse_cdf,4,87,7.5,2.5,42.0,2.5,2.7233650999996826
2,2,inverse_cdf,4,88,15.0,3.0,42.0,3.0,1.7332421999999497
2,2,inverse_cdf,4,89,75.0,21.0,57.0,21.5,1.945444099999804
2,2,inverse_cdf,4,90,97.5,22.5,47.0,22.5,1.5102837000004
2,2,inverse_cdf,4,91,67.5,20.0,42.0,21.0,1.2162452000002304
2,2,inverse_cdf,4,92,127.5,28.0,66.0,30.5,1.6863509999993769
2,2,inverse_cdf,5,93,127.5,28.0,63.5,28.0,1.6408215000001292
2,2,inverse_cdf,5,94,142.5,36.5,59.5,31.0,1.805125400000179
2,2,inverse_cdf,5,95,7.5,2.5,42.0,2.5,2.182337300000654
2,2,inverse_cdf,5,96,135.0,32.5,68.5,33.0,1.308882899999844
2,2,inverse_cdf,5,97,75.0,21.0,42.0,21.0,2.240231499999936
2,2,inverse_cdf,5,98,67.5,20.0,61.5,21.0,1.462481900000057
2,2,inverse_cdf,5,99,22.5,4.0,42.0,5.5,1.6475911999996242
2,2,inverse_cdf,5,100,30.0,5.0,42.0,5.5,1.9336395999998783
2,2,inverse_cdf,5,101,37.5,7.5,42.0,7.5,1.8156143000005611
2,2,inverse_cdf,5,102,112.5,24.0,48.5,22.5,2.2991029000004346
2,2,inverse_cdf,5,103,90.0,22.0,42.0,22.5,1.556473200000255
2,2,inverse_cdf,5,104,97.5,22.5,42.0,22.5,2.4169397999994544
2,2,inverse_cdf,5,105,165.0,41.0,70.5,41.0,1.5208841000003304
2,2,inverse_cdf,5,106,82.5,21.5,53.5,21.5,2.310868599999594
2,2,inverse_cdf,5,107,15.0,3.0,42.0,3.0,1.662347899999986
2,2,inverse_cdf,5,108,150.0,39.0,54.5,38.0,2.465762300000278
2,2,inverse_cdf,5,109,60.0,18.5,44.0,21.0,1.73353810000026
2,2,inverse_cdf,5,110,172.5,41.5,53.0,41.0,2.3012558000000354
2,2,inverse_cdf,5,111,105.0,23.0,43.0,22.5,2.8185163999996803
2,2,inverse_cdf,5,112,45.0,11.5,52.5,19.0,2.004228499999954
2,2,inverse_cdf,5,113,52.5,16.0,42.0,20.5,1.522641399999884
2,2,inverse_cdf,5,114,120.0,25.5,48.5,24.5,1.958681800000704
2,2,inverse_cdf,5,115,157.5,40.0,58.5,39.5,1.851142599999548
2,2,inverse_cdf,6,116,67.5,20.0,42.0,20.5,1.7115547000003062
2,2,inverse_cdf,6,117,82.5,21.5,42.0,21.5,2.393783099999382
2,2,inverse_cdf,6,118,60.0,18.5,47.5,21.5,1.6516026999997848
2,2,inverse_cdf,6,119,127.5,28.0,64.0,25.0,1.9928102000003491
2,2,inverse_cdf,6,120,30.0,5.0,46.0,7.5,1.0377392000000327
2,2,inverse_cdf,6,121,15.0,3.0,42.0,4.5,1.4974643000005017
2,2,inverse_cdf,6,122,90.0,22.0,42.0,22.0,1.7212987000002613
2,2,inverse_cdf,6,123,45.0,11.5,46.0,11.5,1.6748256999999285
2,2,inverse_cdf,6,124,7.5,2.5,42.5,2.5,1.4177902999999787
2,2,inverse_cdf,6,125,157.5,40.0,79.5,39.5,1.5917613000001438
2,2,inverse_cdf,6,126,150.0,39.0,58.0,38.5,1.7451350000001185
2,2,inverse_cdf,6,127,172.5,41.5,69.0,42.0,2.145834300000388
2,2,inverse_cdf,6,128,105.0,23.0,42.0,22.5,2.075146700000005
2,2,inverse_cdf,6,129,37.5,7.5,42.0,16.5,1.8629428999993252
2,2,inverse_cdf,6,130,97.5,22.5,58.5,22.5,2.4641091000003144
2,2,inverse_cdf,6,131,165.0,41.0,68.5,41.0,2.676352599999518
2,2,inverse_cdf,6,132,112.5,24.0,56.5,25.5,1.6979649000004429
2,2,inverse_cdf,6,133,52.5,16.0,42.0,20.5,1.9933248999996067
2,2,inverse_cdf,6,134,22.5,4.0,42.0,6.0,1.9808329999996204
2,2,inverse_cdf,6,135,75.0,21.0,62.5,21.5,2.5465140000005704
2,2,inverse_cdf,6,136,135.0,32.5,55.0,39.0,1.8747418000002656
2,2,inverse_cdf,6,137,120.0,25.5,49.0,32.5,1.3918855000001713
2,2,inverse_cdf,6,138,142.5,36.5,57.0,39.0,2.1222508999999263
2,2,inverse_cdf,7,139,150.0,39.0,69.5,21.5,1.004652800000258
2,2,inverse_cdf,7,140,97.5,22.5,52.0,22.5,2.5351824999997916
2,2,inverse_cdf,7,141,157.5,40.0,58.0,40.0,2.193078199999946
2,2,inverse_cdf,7,142,30.0,5.0,42.0,5.5,1.3913307999991955
2,2,inverse_cdf,7,143,82.5,21.5,57.0,21.5,1.8511232000000744
2,2,inverse_cdf,7,144,22.5,4.0,42.0,3.0,1.6507018000002065
2,2,inverse_cdf,7,145,142.5,36.5,64.5,39.5,1.7330934000001434
2,2,inverse_cdf,7,146,127.5,28.0,62.0,31.0,1.2497443000002022
2,2,inverse_cdf,7,147,45.0,11.5,43.0,11.5,1.3440387999999075
2,2,inverse_cdf,7,148,172.5,41.5,70.0,42.0,1.5092892000002394
2,2,inverse_cdf,7,149,37.5,7.5,42.0,9.5,1.2617135999998936
2,2,inverse_cdf,7,150,60.0,18.5,40.5,21.0,2.369735700000092
2,2,inverse_cdf,7,151,165.0,41.0,42.5,41.0,1.520908600000439
2,2,inverse_cdf,7,152,7.5,2.5,42.0,3.0,1.7451114000004964
2,2,inverse_cdf,7,153,105.0,23.0,58.5,23.0,2.5113810999991983
2,2,inverse_cdf,7,154,15.0,3.0,42.0,2.5,2.0632910000003903
2,2,inverse_cdf,7,155,75.0,21.0,42.0,21.5,1.92511420000028
2,2,inverse_cdf,7,156,120.0,25.5,41.5,29.0,1.5928407999999763
2,2,inverse_cdf,7,157,135.0,32.5,49.5,36.0,1.3458162999995693
2,2,inverse_cdf,7,158,90.0,22.0,42.0,22.0,1.4747275999998235
2,2,inverse_cdf,7,159,52.5,16.0,42.0,21.5,1.5802982000004704
2,2,inverse_cdf,7,160,67.5,20.0,50.0,21.0,2.1713510999998107
2,2,inverse_cdf,7,161,112.5,24.0,42.0,26.0,1.416781299999457
2,2,inverse_cdf,8,162,105.0,23.0,42.0,23.0,1.5929041999997935
2,2,inverse_cdf,8,163,97.5,22.5,64.0,22.5,1.9336786000003483
2,2,inverse_cdf,8,164,30.0,5.0,42.0,6.5,1.061763800000335
2,2,inverse_cdf,8,165,90.0,22.0,60.0,22.0,1.7804745000003095
2,2,inverse_cdf,8,166,22.5,4.0,41.5,7.0,1.5210728000001836
2,2,inverse_cdf,8,167,67.5,20.0,60.0,21.0,2.3348377000002074
2,2,inverse_cdf,8,168,157.5,40.0,69.0,40.0,1.367815900000096
2,2,inverse_cdf,8,169,60.0,18.5,42.0,21.0,1.4927450999994107
2,2,inverse_cdf,8,170,75.0,21.0,42.0,21.5,1.663035900000068
2,2,inverse_cdf,8,171,142.5,36.5,47.0,38.0,2.406061100000443
2,2,inverse_cdf,8,172,150.0,39.0,42.0,40.0,1.568728199999896
