subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
100,7.0,233.0,59.8,22.14,0.55,1.0,True,False,0.9927480999999716
100,7.0,235.0,18.32,17.48,0.55,1.0,True,True,0.7334624000000076
100,7.0,237.0,23.92,14.27,0.55,1.0,True,True,0.6745252000000619
100,7.0,239.0,19.87,13.18,0.55,1.0,True,True,0.9220433999998932
100,7.0,241.0,32.89,8.51,0.55,1.0,True,False,0.8513817000002746
100,7.0,243.0,56.04,19.15,0.55,1.0,True,False,0.792425799999819
100,7.0,245.0,94.15,26.46,0.55,1.0,True,False,1.2286119000000326
100,7.0,247.0,21.71,6.78,0.55,1.0,True,False,0.6745246999998926
100,7.0,249.0,19.29,8.16,0.55,1.0,True,False,1.3818780999999944
100,7.0,251.0,18.52,10.07,0.55,1.0,True,True,0.7806813000001966
100,7.0,253.0,37.9,15.11,0.55,1.0,True,False,0.980988199999956
100,7.0,255.0,16.06,5.14,0.55,1.0,True,False,0.900847999999769
100,7.0,226.0,12.04,47.14,1.0,0.55,False,True,0.9691992000002756
100,7.0,228.0,7.07,9.41,1.0,0.55,False,False,0.7688491999997495
100,7.0,230.0,7.04,22.81,1.0,0.55,False,True,0.7217241999996986
100,7.0,232.0,11.09,37.63,1.0,0.55,False,True,0.7100561999995989
100,7.0,234.0,7.38,17.3,1.0,0.55,False,True,0.8278033000005962
100,7.0,236.0,16.92,20.37,1.0,0.55,False,False,0.7570762000004834
100,7.0,238.0,6.22,23.23,1.0,0.55,False,True,0.7571377999993274
100,7.0,240.0,11.13,31.62,1.0,0.55,False,True,0.6509699999996883
100,7.0,242.0,19.34,59.33,1.0,0.55,False,True,0.7924626000003627
100,7.0,244.0,7.07,18.65,1.0,0.55,False,True,1.1814840999995797
100,7.0,246.0,6.39,24.08,1.0,0.55,False,True,0.7099140000000261
100,7.0,248.0,26.85,105.54,1.0,0.55,False,True,0.8042590000004566
100,7.0,250.0,11.67,46.3,1.0,0.55,False,True,0.756922399999894
100,7.0,252.0,25.41,66.96,1.0,0.55,False,True,0.8278390999994372
