subject,session,run,trial_nr,n1,n2,p1,p2,choice,rt
02,7t2,6,136,28.0,73.0,1.0,0.55,True,0.6193938000361356
02,7t2,6,137,14.0,33.0,1.0,0.55,True,1.4077608999796212
02,7t2,6,138,28.0,89.0,1.0,0.55,True,1.2650871999794615
02,7t2,6,139,28.0,73.0,1.0,0.55,True,0.5198136999970302
02,7t2,6,140,14.0,30.0,1.0,0.55,True,0.8578994999988936
02,7t2,6,141,7.0,13.0,1.0,0.55,True,1.2250692000379786
02,7t2,6,142,20.0,52.0,1.0,0.55,True,0.6412112999823876
02,7t2,6,143,5.0,9.0,1.0,0.55,True,1.456771800003537
02,7t2,6,144,7.0,18.0,1.0,0.55,True,1.223875700030476
02,7t2,7,145,17.0,5.0,0.55,1.0,False,0.8584920999710519
02,7t2,7,146,12.0,7.0,0.55,1.0,True,0.8753504999913275
02,7t2,7,147,15.0,5.0,0.55,1.0,False,0.8750920000020415
02,7t2,7,148,18.0,7.0,0.55,1.0,False,0.8405564000131562
02,7t2,7,149,24.0,7.0,0.55,1.0,False,0.8232312999898426
02,7t2,7,150,89.0,28.0,0.55,1.0,False,0.5412406999967345
02,7t2,7,151,30.0,14.0,0.55,1.0,False,0.8258372999844141
02,7t2,7,152,47.0,20.0,0.55,1.0,False,0.7238240999867998
02,7t2,7,153,70.0,20.0,0.55,1.0,False,0.7250264000030882
02,7t2,7,154,23.0,10.0,0.55,1.0,False,0.9405739000066832
02,7t2,7,155,73.0,28.0,0.55,1.0,False,0.9905615999595908
02,7t2,7,156,9.0,5.0,0.55,1.0,False,0.8238604000071348
02,7t2,7,157,28.0,60.0,1.0,0.55,False,1.1703442999860556
02,7t2,7,158,10.0,19.0,1.0,0.55,False,1.823891900014104
02,7t2,7,159,14.0,44.0,1.0,0.55,True,0.9591903000254832
02,7t2,7,160,10.0,21.0,1.0,0.55,False,1.173812499968335
02,7t2,7,161,5.0,11.0,1.0,0.55,True,1.541732299956493
02,7t2,7,162,5.0,8.0,1.0,0.55,False,1.4239357999758795
02,7t2,7,163,14.0,36.0,1.0,0.55,True,0.6228729999857023
02,7t2,7,164,14.0,24.0,1.0,0.55,False,2.0411509999539135
02,7t2,7,165,20.0,38.0,1.0,0.55,True,0.709713299991563
02,7t2,7,166,20.0,42.0,1.0,0.55,False,1.7577961000497453
02,7t2,7,167,28.0,49.0,1.0,0.55,False,0.5573407000046586
02,7t2,7,168,20.0,57.0,1.0,0.55,True,0.9067330000106608
02,7t2,8,169,12.0,7.0,0.55,1.0,False,0.8757101999944972
02,7t2,8,170,17.0,10.0,0.55,1.0,True,1.2758358999854025
02,7t2,8,171,11.0,5.0,0.55,1.0,True,1.7072886999812908
02,7t2,8,172,73.0,28.0,0.55,1.0,False,0.7923410999937914
02,7t2,8,173,35.0,20.0,0.55,1.0,False,0.6578393999952823
02,7t2,8,174,63.0,20.0,0.55,1.0,False,0.4590143999667049
02,7t2,8,175,35.0,10.0,0.55,1.0,False,0.8253904999583028
02,7t2,8,176,28.0,10.0,0.55,1.0,False,0.8250658999895677
02,7t2,8,177,11.0,5.0,0.55,1.0,False,1.8077118000364576
02,7t2,8,178,23.0,10.0,0.55,1.0,True,2.496786899981089
02,7t2,8,179,63.0,20.0,0.55,1.0,False,0.5050075000035008
02,7t2,8,180,44.0,14.0,0.55,1.0,False,0.7258856000262028
02,7t2,8,181,5.0,15.0,1.0,0.55,True,0.5594406999879595
02,7t2,8,182,28.0,49.0,1.0,0.55,False,1.908593899977859
02,7t2,8,183,14.0,40.0,1.0,0.55,True,0.457612400001409
02,7t2,8,184,5.0,11.0,1.0,0.55,True,1.007737700012541
